device,arquivo,total_packets,total_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_packets,udp_packets,dns_packets,icmp_packets,arp_packets,unique_source_ips,unique_destination_ips,unique_ports,capture_duration,packets_per_second,bytes_per_second,tcp_ratio,udp_ratio,dns_ratio,icmp_ratio
google-home-mini,2021-08-04_04:25:26.19s.pcap,264,175205,663.655303030303,1392,66,4,252,4,8,0,6,6,7,14.359167098999023,18.3854674982091,12201.613003877748,0.015151515151515152,0.9545454545454546,0.015151515151515152,0.030303030303030304
google-home-mini,2021-08-04_05:00:28.20s.pcap,254,167387,659.003937007874,1392,42,2,240,4,8,4,6,6,7,14.962406158447266,16.975879234276782,11187.171249558614,0.007874015748031496,0.9448818897637795,0.015748031496062992,0.031496062992125984
google-home-mini,2021-08-04_02:38:25.20s.pcap,247,167812,679.4008097165992,1392,42,0,245,0,0,2,3,3,3,9.995244979858398,24.711750487130054,16789.183290470723,0.0,0.9919028340080972,0.0,0.0
google-home-mini,2021-08-04_01:27:02.19s.pcap,249,170590,685.1004016064257,1392,66,5,244,0,0,0,5,5,7,16.003458976745605,15.559136331827906,10659.570549584429,0.020080321285140562,0.9799196787148594,0.0,0.0
google-home-mini,2021-08-03_23:40:05.20s.pcap,234,162509,694.482905982906,1392,66,8,226,0,0,0,4,4,7,17.176510095596313,13.62325633657052,9461.118649571534,0.03418803418803419,0.9658119658119658,0.0,0.0
google-home-mini,2021-08-04_03:50:20.20s.pcap,254,171976,677.0708661417323,1392,42,2,242,4,8,2,5,5,6,10.001404047012329,25.396434221240785,17195.185715087027,0.007874015748031496,0.952755905511811,0.015748031496062992,0.031496062992125984
google-home-mini,2021-08-04_03:13:55.20s.pcap,240,168964,704.0166666666667,1392,66,6,234,0,0,0,4,5,6,13.641581058502197,17.593268622658556,12385.954331495335,0.025,0.975,0.0,0.0
google-home-mini,2021-08-04_00:51:12.20s.pcap,256,170265,665.09765625,1392,42,4,250,0,0,2,4,4,6,16.12270188331604,15.878231939828385,10560.57484857375,0.015625,0.9765625,0.0,0.0
google-home-mini,2021-08-04_00:50:33.19s.pcap,252,165461,656.5912698412699,1392,66,8,238,4,6,0,7,8,10,16.87799596786499,14.930682557324793,9803.355819910785,0.031746031746031744,0.9444444444444444,0.015873015873015872,0.023809523809523808
google-home-mini,2021-08-04_06:11:33.19s.pcap,273,175066,641.2673992673992,1392,42,6,257,4,8,2,6,6,8,15.797007083892822,17.281754610236284,11082.225833683608,0.02197802197802198,0.9413919413919414,0.014652014652014652,0.029304029304029304
